,Open,High,Low,Close,Volume,Close Time,QAV,NOT,TBBAV,TBQAV,U,date
0,40018.49000000,40070.00000000,40004.91000000,40019.31000000,47.30457300,1627603259999,1893868.98768562,1620,21.74279900,870459.87070309,0,2021-07-30 00:00:59.999000072
1,40019.31000000,40025.53000000,39897.00000000,39897.01000000,55.60478100,1627603319999,2220920.05716474,1617,21.86315000,873202.09377572,0,2021-07-30 00:01:59.999000072
2,39897.01000000,40011.11000000,39885.61000000,39979.97000000,55.69423000,1627603379999,2225413.59347086,1465,27.15647700,1085048.87337630,0,2021-07-30 00:02:59.999000072
3,39979.97000000,40050.29000000,39956.25000000,39981.96000000,59.35805400,1627603439999,2374599.79705333,1185,30.98624300,1239439.62536296,0,2021-07-30 00:03:59.999000072
4,39985.07000000,39986.55000000,39919.71000000,39943.93000000,33.51254800,1627603499999,1338703.91030890,898,18.59374000,742750.28823746,0,2021-07-30 00:04:59.999000072
5,39943.92000000,39991.42000000,39909.89000000,39979.93000000,52.42622400,1627603559999,2094549.57007559,936,35.59832300,1422284.11550021,0,2021-07-30 00:05:59.999000072
6,39979.93000000,39979.93000000,39935.92000000,39941.25000000,30.16648900,1627603619999,1205218.54159657,561,13.97218400,558183.15251431,0,2021-07-30 00:06:59.999000072
7,39941.25000000,39947.23000000,39901.46000000,39907.20000000,50.10974800,1627603679999,2000634.79302730,800,30.47210400,1216593.97501696,0,2021-07-30 00:07:59.999000072
8,39907.21000000,39910.86000000,39827.49000000,39837.53000000,42.90904100,1627603739999,1710765.02835577,1614,13.40718900,534520.77348195,0,2021-07-30 00:08:59.999000072
9,39837.53000000,39888.00000000,39742.59000000,39784.58000000,89.48935900,1627603799999,3561444.93478619,2381,35.66715200,1419679.88580080,0,2021-07-30 00:09:59.999000072
10,39784.62000000,39804.58000000,39752.96000000,39804.58000000,55.92756900,1627603859999,2224851.16517301,1352,25.84703700,1028256.56892220,0,2021-07-30 00:10:59.999000072
11,39804.57000000,39868.28000000,39800.75000000,39835.52000000,34.30736800,1627603919999,1366744.82002245,1094,20.68400300,824043.50979498,0,2021-07-30 00:11:59.999000072
12,39835.52000000,39884.94000000,39829.09000000,39836.00000000,22.93849200,1627603979999,914338.24356201,730,14.45358900,576143.65795779,0,2021-07-30 00:12:59.999000072
13,39836.00000000,39906.00000000,39830.03000000,39888.09000000,60.75154500,1627604039999,2422213.05443891,860,43.20275600,1722330.22353320,0,2021-07-30 00:13:59.999000072
14,39888.09000000,39905.99000000,39854.54000000,39899.98000000,28.90711500,1627604099999,1153131.31594854,576,15.81751200,630948.93338262,0,2021-07-30 00:14:59.999000072
15,39899.99000000,39945.99000000,39870.58000000,39924.17000000,23.33334300,1627604159999,931032.05093428,737,11.33910400,452439.35447682,0,2021-07-30 00:15:59.999000072
16,39924.17000000,40014.71000000,39908.37000000,40005.85000000,47.32144500,1627604219999,1890847.53315501,1182,24.75522000,989295.38105351,0,2021-07-30 00:16:59.999000072
17,40005.84000000,40023.49000000,39965.83000000,40019.02000000,21.03769100,1627604279999,841243.95673555,726,11.25740300,450160.94113428,0,2021-07-30 00:17:59.999000072
18,40017.01000000,40113.00000000,40003.60000000,40063.31000000,83.22307100,1627604339999,3334087.29240732,1770,58.00038600,2323313.25788120,0,2021-07-30 00:18:59.999000072
19,40063.31000000,40100.00000000,40026.78000000,40085.62000000,21.17032100,1627604399999,848015.64910812,746,7.09578700,284250.39275416,0,2021-07-30 00:19:59.999000072
20,40085.62000000,40110.00000000,40036.86000000,40050.95000000,46.07221500,1627604459999,1845674.52713451,763,26.27582400,1052388.26130915,0,2021-07-30 00:20:59.999000072
21,40050.95000000,40082.69000000,40028.27000000,40065.63000000,19.50941700,1627604519999,781487.32580083,651,13.70917900,549143.13627324,0,2021-07-30 00:21:59.999000072
22,40065.62000000,40065.63000000,39987.34000000,39989.47000000,26.57270200,1627604579999,1063337.67700031,813,5.83006700,233373.31950822,0,2021-07-30 00:22:59.999000072
23,39989.47000000,40065.62000000,39980.72000000,40016.56000000,42.21816800,1627604639999,1689643.64844441,829,11.74490900,470034.40067443,0,2021-07-30 00:23:59.999000072
24,40016.56000000,40099.40000000,40011.23000000,40090.63000000,20.51917700,1627604699999,821807.30661816,788,10.31952000,413350.07991852,0,2021-07-30 00:24:59.999000072
25,40090.08000000,40137.06000000,40082.25000000,40110.64000000,44.96212500,1627604759999,1803522.05830184,1134,18.86698500,756811.09862676,0,2021-07-30 00:25:59.999000072
26,40113.60000000,40130.53000000,40083.13000000,40117.89000000,24.24881200,1627604819999,972466.06475397,885,15.59711300,625491.22007693,0,2021-07-30 00:26:59.999000072
27,40117.89000000,40117.90000000,40027.08000000,40050.24000000,33.68406600,1627604879999,1349335.66817700,860,11.19748200,448601.74535181,0,2021-07-30 00:27:59.999000072
28,40050.25000000,40050.25000000,40032.97000000,40038.14000000,8.72529000,1627604939999,349353.73817665,438,3.80676700,152421.66744235,0,2021-07-30 00:28:59.999000072
29,40038.14000000,40069.09000000,40011.00000000,40049.07000000,23.79642300,1627604999999,952622.47265766,628,12.78164900,511676.85676480,0,2021-07-30 00:29:59.999000072
30,40049.06000000,40049.06000000,39999.99000000,39999.99000000,40.18542600,1627605059999,1608145.54017239,732,11.27343900,451235.20933371,0,2021-07-30 00:30:59.999000072
31,40000.00000000,40000.00000000,39964.05000000,39969.24000000,27.64586900,1627605119999,1105284.82042954,670,13.32835300,532899.29148306,0,2021-07-30 00:31:59.999000072
32,39969.23000000,40011.40000000,39968.68000000,39977.87000000,27.73331600,1627605179999,1108942.48824716,609,13.38007600,535039.37366817,0,2021-07-30 00:32:59.999000072
33,39977.86000000,40039.91000000,39977.86000000,40010.51000000,34.89543500,1627605239999,1396122.46779083,609,20.36481300,814697.70172603,0,2021-07-30 00:33:59.999000072
34,40010.50000000,40029.17000000,39991.37000000,40020.94000000,24.64184100,1627605299999,985884.89686535,516,13.76879300,550877.27915891,0,2021-07-30 00:34:59.999000072
35,40020.93000000,40034.10000000,40000.32000000,40020.04000000,21.91602200,1627605359999,877088.90256263,534,9.61997400,384976.86029808,0,2021-07-30 00:35:59.999000072
36,40020.04000000,40043.89000000,40002.36000000,40012.63000000,51.89374100,1627605419999,2077236.65018145,690,28.98703600,1160423.95227475,0,2021-07-30 00:36:59.999000072
37,40012.63000000,40034.49000000,39986.72000000,40005.59000000,36.61619000,1627605479999,1465204.85616169,606,22.31424800,892988.74143642,0,2021-07-30 00:37:59.999000072
38,40005.59000000,40036.14000000,40000.03000000,40024.34000000,30.95751700,1627605539999,1238842.02113462,530,15.41381700,616794.50333957,0,2021-07-30 00:38:59.999000072
39,40024.35000000,40079.14000000,40012.02000000,40025.56000000,48.84981800,1627605599999,1955904.83689431,876,24.34768600,974846.79366097,0,2021-07-30 00:39:59.999000072
40,40025.55000000,40025.55000000,39971.63000000,39971.63000000,38.09508700,1627605659999,1523542.73517317,759,10.67396000,426917.86039948,0,2021-07-30 00:40:59.999000072
41,39975.41000000,39984.55000000,39948.00000000,39970.28000000,17.26438100,1627605719999,689953.78602206,539,6.71039800,268200.82077982,0,2021-07-30 00:41:59.999000072
42,39970.29000000,39980.00000000,39956.43000000,39972.31000000,19.48883600,1627605779999,779015.34705370,338,4.91403100,196408.07528845,0,2021-07-30 00:42:59.999000072
43,39972.31000000,39974.29000000,39951.34000000,39961.62000000,30.37788100,1627605839999,1213919.33725663,537,20.33170200,812462.89976744,0,2021-07-30 00:43:59.999000072
44,39961.62000000,39969.12000000,39952.98000000,39956.97000000,16.81612400,1627605899999,671953.45161728,390,11.84801900,473433.36728119,0,2021-07-30 00:44:59.999000072
45,39956.96000000,39973.34000000,39927.88000000,39934.35000000,28.28665800,1627605959999,1130011.62548151,565,7.83111400,312862.38803241,0,2021-07-30 00:45:59.999000072
46,39934.35000000,39944.48000000,39909.90000000,39919.00000000,36.29973700,1627606019999,1449095.74021027,704,12.95191400,517045.16358169,0,2021-07-30 00:46:59.999000072
47,39919.00000000,39925.27000000,39866.85000000,39874.14000000,29.12775900,1627606079999,1161921.89088838,810,10.74424300,428565.25906903,0,2021-07-30 00:47:59.999000072
48,39872.02000000,39899.97000000,39861.69000000,39897.97000000,25.69418200,1627606139999,1024601.49264372,575,13.05008700,520434.81336776,0,2021-07-30 00:48:59.999000072
49,39895.18000000,39967.61000000,39892.70000000,39957.83000000,32.21014100,1627606199999,1285931.92433280,580,19.79907900,790486.02849201,0,2021-07-30 00:49:59.999000072
50,39957.82000000,39959.22000000,39930.00000000,39938.34000000,23.54246900,1627606259999,940504.46401709,425,10.48454700,418839.22143562,0,2021-07-30 00:50:59.999000072
